title,abstract,authors,n_citation,references,venue,year
Fraud Detection Systems,"Detecting fraud in transactions.","Aman Verma; Pooja Jain",150,"ref83;ref84","IEEE Security",2022
Customer Segmentation using AI,"Grouping users based on behavior.","Neha Kapoor; Kunal Shah",100,"ref85;ref86","Marketing AI",2020
Sentiment Analysis using NLP,"Analyzing opinions from text.","Aditi Mehta; Rohan Jain",130,"ref87;ref88","ACL",2021
Chatbots using AI,"Automated conversational agents.","Sahil Gupta; Riya Kapoor",115,"ref89;ref90","EMNLP",2022
Knowledge Graphs in AI,"Structured knowledge representation.","Rohit Das; Priya Mehta",90,"ref91;ref92","KDD",2023
Multi-modal AI Systems,"Combining text, image, and audio.","Karan Verma; Sneha Patel",125,"ref93;ref94","NeurIPS",2023
Explainable Deep Learning,"Understanding deep learning decisions.","Ananya Singh; Arjun Jain",85,"ref95;ref96","AAAI",2022
AI Ethics and Bias,"Ensuring fairness in AI systems.","Meera Kapoor; Aman Shah",75,"ref97;ref98","AI Ethics",2021
Low Resource NLP,"Handling languages with limited data.","Ritu Sharma; Kunal Jain",80,"ref99;ref100","ACL",2022
Zero-shot Learning,"Learning without labeled examples.","Dev Shah; Neha Verma",95,"ref101;ref102","ICLR",2023
Few-shot Learning,"Learning from small datasets.","Arjun Patel; Sneha Iyer",105,"ref103;ref104","NeurIPS",2022
Meta Learning Models,"Learning how to learn.","Rahul Jain; Pooja Verma",110,"ref105;ref106","ICML",2023
Distributed Machine Learning,"Scaling ML across systems.","Aman Nair; Kavita Mehta",90,"ref107;ref108","IEEE ML",2021
Parallel Computing Systems,"Improving computation speed.","Rohit Mehta; Neha Shah",70,"ref109;ref110","HPC Journal",2020
High Performance Computing,"Advanced computing architectures.","Kunal Patel; Aditi Shah",85,"ref111;ref112","IEEE HPC",2022
GPU Acceleration in ML,"Using GPUs for faster training.","Aman Gupta; Riya Jain",120,"ref113;ref114","CUDA Conf",2023
